laboratory_test,first_test,second_test,days_missing,hours_studied,first_exam,passed_last_exam
5,0.13,0.28,20,78,6.4,1
5,0.36,0.32,22,96,3.8,1
5,0.35,0.37,6,72,3.4,0
5,0.32,0.39,24,140,4.5,1
5,0.36,0.02,24,104,3.5,1
5,0.19,0.47,19,112,4.5,1
5,0.35,0.35,14,167,6.8,1
5,0.21,0.24,53,165,3.9,0
5,0.37,0.1,39,128,4.8,0
5,0.18,0.22,25,111,3.9,0
5,0.27,0.29,31,115,4.8,1
5,0.32,0.12,22,141,6,1
5,0.31,0.33,23,99,6,1
5,0.14,0.25,34,140,5.1,1
5,0.35,0.14,48,198,7.1,0
5,0.335,0.14,49,197,7.1,0
5,0.235,0.29,33,127,5,1
5,0.24,0.26,34,134,4.5,1
5,0.29,0.25,48,224,4.1,1
5,0.32,0.38,23,94,4.2,1
5,0.32,0.38,23,94,4.2,1
5,0.32,0.38,23,94,4.2,1
5,0.25,0.25,30,165,4.4,1
5,0.37,0.14,34,185,6.3,0
5,0.34,0.22,19,135,7.8,1
5,0.25,0.26,18,115,5,1
5,0.2,0.3,21,57,5.5,1
5,0.26,0.25,38,152,4.3,0
5,0.35,0.47,14,138,5,0
5,0.25,0.28,45,175,4.3,0
5,0.44,0.04,38,128,5.7,1
5,0.34,0.16,26,116,4.5,1
5,0.24,0.3,28,92,6.9,1
5,0.24,0.3,28,92,6.9,1
5,0.18,0.24,30,113,4,1
5,0.31,0,43,166,6.3,1
5,0.26,0.18,40,114,4,1
5,0.26,0.3,38,114,4.8,0
5,0.26,0.18,40,114,4,1
5,0.19,0.39,17,67,5.3,1
5,0.31,0.3,60,206,3.9,1
5,0.29,0.05,11,30,3.5,0
5,0.29,0.05,11,30,3.5,0
5,0.595,0.1,26,80,3.8,0
5,0.29,0.33,58,205,4.1,0
5,0.415,0.19,27,88,4.1,1
5,0.26,0.21,36,152,4.3,1
5,0.42,0.09,18,68,5.1,1
5,0.42,0.01,25,102,3.6,1
5,0.39,0.21,15,72,4.5,1
5,0.36,0.34,21,77,4.5,1
5,0.36,0.26,40,153,5.5,1
5,0.36,0.26,40,153,5.5,1
5,0.52,0.06,30,79,4.3,0
5,0.3,0.2,48,166,5.4,0
5,0.24,0.45,21,128,4.9,1
5,0.24,0.33,25,97,3.8,1
5,0.29,0.21,12,120,7.9,1
5,0.32,0.45,25,191,4.9,1
5,0.24,0.45,21,128,4.9,1
5,0.415,0.13,11,64,5.2,0
5,0.415,0.13,11,64,5.2,0
5,0.1,0.27,21,100,4.6,0
5,0.395,0.07,26,102,3.5,1
5,0.26,0.27,73.5,189.5,3.8,1
5,0.26,0.27,73.5,189.5,3.8,1
5,0.33,0.16,10,97,4.4,1
5,0.33,0.16,10,97,4.4,1
5,0.33,0.16,10,97,4.4,1
5,0.4,0.32,50,127,5.8,1
5,0.26,0.23,48,160,5.1,1
5,0.245,0.33,28,150,4.2,0
5,0.245,0.32,24,152,4.2,1
5,0.365,0.08,37,142,3.9,1
5,0.31,0.3,28,152,5.6,1
5,0.37,0.33,13,81,3.8,1
5,0.21,0.24,60,189,7.2,1
5,0.21,0.24,60,189,7.2,1
5,0.43,0.3,24,98,6.1,1
5,0.49,0.13,17,116,9,1
5,0.19,0.26,33,123,4.2,1
5,0.135,0.3,19,101,4.2,1
5,0.49,0.13,17,116,9,1
5,0.17,0.3,55,130,3.8,1
5,0.415,0.02,22,63,3.6,0
5,0.165,0.24,25,105,4.7,0
5,0.185,0.49,28,117,4.5,1
5,0.39,0.24,27,77,3.6,0
5,0.41,0.24,10,53,5,1
5,0.19,0.49,44,118,3.8,1
5,0.15,0.49,21,98,4.8,0
5,0.23,0.27,24,69,3.1,1
5,0.46,0.24,24,72,3.7,1
5,0.33,0.2,26,166,4.6,0
5,0.33,0.2,26,166,4.6,0
5,0.45,0.42,61,197,4,0
5,0.18,0.31,16,84,5.8,1
5,0.27,0.32,20,155,4.1,1
5,0.14,0.27,22,104,4.4,0
5,0.14,0.27,22,104,4.4,0
5,0.13,0.27,22,104,4.5,1
5,0.385,0.04,22,115,6.3,1
5,0.46,0.46,31,169,4.7,0
5,0.32,0.18,26,104,3.7,1
5,0.17,0.3,25,119,7.2,1
5,0.76,0.03,27,93,3.8,0
5,0.33,0.15,20,93,6.2,0
5,0.5,0.05,36,146,5,1
5,0.24,0.32,19,102,3.1,0
5,0.295,0.2,18,134,6.8,0
5,0.16,0.34,26,77,5.1,1
5,0.35,0.4,23,174,5,1
5,0.175,0.29,20,67,4.8,1
5,0.3,0.12,57,163,5.9,1
5,0.28,0.14,30,142,4.4,1
5,0.28,0.14,30,142,4.4,1
5,0.255,0.65,17,137,4.2,0
5,0.255,0.65,17,137,4.2,0
5,0.3,0.27,45,104,5.6,1
5,0.14,0.25,15,89,4.3,1
5,0.5,0.13,12,107,8.8,1
5,0.6,0,72,197,4.3,0
5,0.445,0.26,23,109,3.6,1
5,0.18,0.36,9,71,6.8,1
5,0.15,0.28,43,127,5.1,0
5,0.34,0.31,38,142,4.1,1
5,0.34,0.31,38,142,4.1,1
5,0.3,0.3,38,142,4.1,1
5,0.23,0.28,26,121,3.8,1
5,0.2,0.22,25,155,4.3,0
5,0.28,0.29,18,69,5.4,1
5,0.2,0.31,22,91,5,1
5,0.17,0.34,96,170,9,1
5,0.17,0.34,96,170,9,1
5,0.315,0.27,15,70,4,1
5,0.17,0.28,5,28,3.2,0
5,0.12,0.26,18,97,4.6,0
5,0.13,0.26,19,103,4.7,1
5,0.15,0.31,8,79,3.9,1
5,0.15,0.32,16,99,3.8,1
5,0.32,0.31,25,153,7.3,1
5,0.32,0.31,25,153,7.3,1
5,0.22,0.29,34,89,3.6,1
5,0.375,0.38,17,98,3.9,1
5,0.2,0.4,23,92,4.5,1
5,0.22,0.38,24,90,4.7,1
5,0.2,0.34,40,86,4.2,0
5,0.16,0.39,40,101,5.9,1
5,0.18,0.58,29,129,6,1
5,0.11,0.32,12,90,5.2,1
5,0.16,0.39,40,101,5.9,1
5,0.19,0.46,33,115,5,1
5,0.18,0.58,29,129,6,1
5,0.21,0.32,38,95,9.4,1
5,0.23,0.36,74,121,9.9,1
5,0.32,0.33,35,138,4.2,1
5,0.37,0.3,24,88,3.9,1
5,0.285,0.29,64,138,3.4,1
5,0.21,0.25,26,81,5.2,1
5,0.21,0.25,26,81,5.2,1
5,0.28,0.28,15,65,5.2,1
5,0.155,0.33,13,59,8.4,1
5,0.21,0.4,81,147,9.5,1
5,0.155,0.33,13,59,8.4,1
5,0.21,0.29,11,66,4,0
5,0.17,0.27,11,68,4.1,0
5,0.29,0.28,27,107,3.7,1
5,0.29,0.28,27,107,3.7,1
5,0.19,0.24,38,128,6,0
5,0.34,0.26,31,119,4.9,1
5,0.27,0.32,58,178,3.1,1
5,0.27,0.32,58,178,3.1,1
5,0.3,0.33,54,173,3,1
5,0.34,0.3,57,135,3.4,1
5,0.22,0.29,69,152,6.3,1
5,0.19,0.25,33,124,4.1,1
5,0.12,0.26,21,99,5.7,1
5,0.2,0.66,78,175,4.3,1
5,0.15,0.31,7,73,4.3,1
5,0.31,0.32,28,94,5.2,1
5,0.31,0.32,28,94,5.2,1
5,0.33,0.27,44,129,3.9,1
5,0.28,0.39,47,147,6.4,1
5,0.19,0.37,3,21,3.1,0
5,0.18,0.27,31,103,3.7,1
5,0.18,0.22,10,86,4.4,0
5,0.24,0.21,31,100,6.2,1
5,0.19,0.27,52,103,3.9,0
5,0.33,0.32,9,34,3.6,1
5,0.19,0.27,52,103,3.9,0
5,0.39,0.47,12,88,4.5,1
5,0.29,0.33,30,88,4.2,1
5,0.34,0.37,42,133,4.1,1
5,0.28,0.4,36,118,4.3,1
5,0.16,0.26,28,113,5.8,1
5,0.41,0.22,44,154,4,0
5,0.12,0.33,23,131,4.5,0
5,0.28,0.3,31,114,6,1
5,0.12,0.33,23,131,4.5,0
5,0.16,0.32,7,89,4.8,0
5,0.31,0.36,46,145,3.1,1
5,0.42,0.34,34,97,3.8,1
5,0.33,0.23,29,106,5.2,0
5,0.335,0.2,17,74,4.8,1
5,0.33,0.23,29,106,5.2,0
5,0.15,0.28,57,151,2.7,1
5,0.2,0.3,38,125,5,1
5,0.15,0.28,57,151,2.7,1
5,0.3,0.42,19,113,4.6,1
5,0.3,0.16,37,100,3.6,1
5,0.24,0.12,60,247,4.4,1
5,0.23,0.2,39,154,3.9,1
5,0.12,0.33,21,73,3.2,1
5,0.12,0.33,21,73,3.2,1
5,0.24,0.28,36,95,6.4,1
5,0.18,0.37,19,74,4.9,1
5,0.18,0.37,31,96,4.8,1
5,0.32,0.32,32,105,4.7,1
5,0.21,0.28,48,148,4.9,0
5,0.26,0.3,30,105,5.2,1
5,0.17,0.36,11,70,6.8,1
5,0.165,0.22,42,146,5.5,1
5,0.2,0.28,29,132,5.7,1
5,0.32,0.23,26,119,5.3,1
5,0.15,0.26,51,139,5,1
5,0.19,0.21,57,135,4.4,0
5,0.32,0.33,25,95,4.9,1
5,0.18,0.28,9,94,5.2,1
5,0.15,0.32,14,119,5,1
5,0.32,0.33,25,95,4.9,1
5,0.24,0.26,63,162,5,1
5,0.27,0.27,14,97,3.3,1
5,0.34,0.3,23,89,4.9,1
5,0.54,0,40,107,3.5,0
5,0.32,0.2,17,123,7.8,1
5,0.32,0.28,34,94,5.7,1
5,0.22,0.3,36,131,4.5,0
5,0.45,0.27,20,102,2.7,1
5,0.23,0.24,61,152,5,1
5,0.36,0.27,40,132,4,1
5,0.36,0.27,40,132,4,1
5,0.22,0.22,39,110,4.8,1
5,0.22,0.22,39,110,4.8,1
5,0.22,0.22,39,110,4.8,1
5,0.14,0.15,27,123,6,1
5,0.22,0.22,39,110,4.8,1
5,0.655,0,8,31,5.1,0
5,0.28,0.28,52,158,4.4,1
5,0.28,0.27,52,158,4.4,1
5,0.28,0.28,52,158,4.4,1
5,0.2,0.24,65,169,5.6,1
5,0.58,0,33,96,3.8,1
5,0.18,0.28,50,139,4.4,1
5,0.15,0.47,49,128,3.4,1
5,0.275,0.3,41,149,4.2,1
5,0.53,0.16,34,128,5.3,1
5,0.32,0.28,46,115,5.7,1
5,0.29,0.54,54,155,3.4,1
5,0.53,0.16,34,128,5.3,1
5,0.32,0.28,46,115,5.7,1
5,0.37,0.32,41,102,5.5,1
5,0.3,0.3,25,93,4,1
5,0.25,0.19,42,166,4.3,1
5,0.3,0.3,25,93,4,1
5,0.21,0.24,37,150,3.1,1
5,0.265,0.28,46,150,4.4,1
5,0.255,0.33,29,122,6.6,1
5,0.265,0.28,46,150,4.4,1
5,0.26,0.18,18,135,3.5,1
5,0.17,0.23,10,108,5,0
5,0.46,0.15,29,130,7.7,1
5,0.17,0.23,10,108,5,0
5,0.46,0.15,29,130,7.7,1
5,0.61,0.12,65,100,3.7,0
5,0.19,0.31,11,100,4,1
5,0.24,0.45,22,113,4.8,0
5,0.35,0.26,36,120,4,1
5,0.35,0.26,36,120,4,1
5,0.35,0.26,36,120,4,1
5,0.23,0.18,13,99,3.9,0
5,0.17,0.29,32,123,3.3,1
5,0.2,0.23,38,93,4.9,1
5,0.12,0.27,40,110,6.8,1
5,0.18,0.29,68,137,3.8,1
5,0.2,0.23,38,93,4.9,1
5,0.17,0.27,28,104,5.5,1
5,0.435,0.16,21,134,4.6,1
5,0.27,0.26,26,69,3.8,1
5,0.455,0.18,33,106,8.3,1
5,0.23,0.25,16,108,6.1,1
5,0.14,0.3,26,105,4.5,0
5,0.24,0.18,22,145,4.6,0
5,0.185,0.19,36,110,4.1,1
5,0.185,0.19,36,110,4.1,1
5,0.185,0.19,36,110,4.1,1
5,0.23,0.25,31,101,4.2,1
5,0.15,0.32,10,51,5.8,1
5,0.23,0.24,32,115,5.1,1
5,0.25,0.27,37,81,4.6,1
5,0.28,0.21,23,85,4.2,0
5,0.25,0.26,52.5,120,4.5,1
5,0.25,0.21,21,108,5.9,1
5,0.23,0.21,21,110,5.7,1
5,0.265,0.28,27,91,3.8,1
5,0.25,0.27,58,116,5,1
5,0.25,0.26,52.5,106,4.5,1
5,0.23,0.28,37,142,5.3,1
5,0.31,0.28,22,86,3.8,1
5,0.23,0.56,46,141,6.2,0
5,0.255,0.22,46,153,7.6,1
5,0.21,0.25,18,75,5.6,1
5,0.25,0.27,24,120,3.1,1
5,0.26,0.24,27,132,7.3,0
5,0.65,0.23,20,128,4.8,1
5,0.27,0.27,43,136,5.3,1
5,0.24,0.28,40,76,2.9,1
5,0.23,0.31,35,158,3.7,1
5,0.19,0.33,49,133,4.2,1
5,0.24,0.34,40,108,5,1
5,0.33,0.3,25,119,6.2,1
5,0.22,0.29,25,68,3.5,1
5,0.32,0.2,29,144,4.1,1
5,0.23,0.29,19,89,5.1,1
5,0.43,0.11,6,51,4.8,0
5,0.22,0.35,26,87,4.4,1
5,0.255,0.57,66,171,6.1,1
5,0.2,0.27,16,93,5.3,1
5,0.28,0.36,38,90,9.8,1
5,0.22,0.29,69,144,7.4,1
5,0.18,0.26,21,95,5.4,1
5,0.14,0.2,26,114,4.5,1
5,0.23,0.19,39,161,4.3,1
5,0.47,0.1,11,74,5.4,0
5,0.32,0.23,39,121,3.5,0
5,0.3,0.23,37,121,3.4,1
5,0.2,0.16,44,99,3.7,1
5,0.22,0.29,27,146,3.6,1
5,0.22,0.2,41,113,4.6,1
5,0.22,0.2,41,113,4.6,1
5,0.22,0.2,41,113,4.6,1
5,0.22,0.2,41,113,4.6,1
5,0.31,0.2,27,117,4.5,1
5,0.18,0.29,5,47,4.5,0
5,0.22,0.2,41,113,4.6,1
5,0.26,0.24,23,124,5,0
5,0.26,0.24,23,124,5,0
5,0.26,0.24,23,124,5,0
5,0.26,0,13,111,4.6,1
5,0.25,0.24,21,113,5.8,1
5,0.225,0.24,59,140,3.9,1
5,0.2,0.28,45,100,4.1,1
5,0.28,0.35,39,141,6.9,1
5,0.22,0.25,21,109,5.8,1
5,0.28,0.34,50,194,5.2,1
5,0.29,0.28,16,117,4.2,1
5,0.31,0.29,33,143,5,1
5,0.22,0.46,41,187,4.2,0
5,0.29,0.16,48,197,3.6,0
5,0.29,0.16,48,197,3.6,0
5,0.29,0.16,48,197,3.6,0
5,0.24,0.47,35,182,4.6,0
5,0.3,0.38,22,86,5.8,1
5,0.3,0.38,22,86,5.8,1
5,0.24,0.47,35,182,4.6,0
5,0.35,0.25,24,116,4,1
5,0.35,0.25,24,116,4,1
5,0.22,0.18,28,120,5,0
5,0.25,0.22,50,125,4.5,1
5,0.22,0.33,37,110,5.8,1
5,0.22,0.45,55,122,3.5,0
5,0.28,0.18,7,108,5.8,0
5,0.555,0.26,17,126,4.6,0
5,0.3,0.33,25,116,4.4,1
5,0.38,0.26,20,103,4.5,1
5,0.61,0.01,31,104,7.2,1
5,0.305,0.13,17,73,5.1,0
5,0.26,0.3,75,129,3.8,0
5,0.13,0.22,24,183,4.2,1
5,0.31,0.31,55,230,4.6,0
5,0.13,0.22,24,183,4.2,1
5,0.27,0.22,42,206,3.8,1
5,0.12,0.21,35,121,3.3,1
5,0.28,0.3,36,105,5.8,1
5,0.28,0.3,36,105,5.8,1
5,0.29,0.32,17,47,3.5,1
5,0.28,0.3,36,105,5.8,1
5,0.21,0.23,22,130,5.9,1
5,0.27,0.22,29,107,5.4,1
5,0.18,0.3,28,131,4.2,1
5,0.26,0.27,27,119,3.4,1
5,0.28,0.66,26,159,5.5,0
5,0.28,0.66,26,159,5.5,0
5,0.29,0.15,12,83,4,1
5,0.22,0.28,26,101,3.8,1
5,0.22,0.32,29,97,4.6,1
5,0.3,0.29,23,56,3.8,0
5,0.2,0.24,44,112,6.6,1
5,0.34,0.25,12,110,5.4,1
5,0.33,0.23,23,158,6.4,1
5,0.29,0.38,31,132,3.6,1
5,0.29,0.38,31,132,3.6,1
5,0.42,0.3,26,129,4.7,1
5,0.33,0.18,40,124,4,1
5,0.44,0.36,12,73,4.8,1
5,0.42,0.36,19,77,4.8,0
5,0.34,0.21,48,146,4.9,0
5,0.27,0.2,42,145,4.8,0
5,0.5,0.18,23,129,7.7,1
5,0.24,0.34,14,73,4.5,1
5,0.25,0.32,43,127,5.3,1
5,0.29,0.38,49,136,5.9,1
5,0.345,0.15,26,120,4.9,1
5,0.24,0.3,25,98,4.3,1
5,0.24,0.34,49,158,3.2,1
5,0.18,0.28,24,88,5.5,1
5,0.26,0.29,35,101,4.8,1
5,0.695,0.06,9,84,4.4,0
5,0.695,0.06,9,84,4.4,0
5,0.39,0.25,49,113,5.8,1
5,0.44,0.33,12,117,4.4,0
5,0.35,0.29,41,151,5.8,1
5,0.21,0.37,58,140,6.2,1
5,0.27,0.37,11,49,3.3,1
5,0.12,0.28,36,83,4.2,1
5,0.27,0.16,32,111,3.7,1
5,0.205,0.16,31,115,3.8,1
5,0.21,0.31,45,142,5,1
5,0.33,0.31,27,108,4.3,1
5,0.205,0.16,31,115,3.8,1
5,0.27,0.16,32,111,3.7,1
5,0.315,0.38,10,69,5.9,1
5,0.24,0.15,32,134,4.8,1
5,0.31,0.38,53,140,4.6,1
5,0.31,0.38,53,140,4.6,1
5,0.185,0.22,47,123,4.4,1
5,0.16,0.31,31,68,4.4,1
5,0.3,0.25,33,118,6.6,1
5,0.16,0.31,31,68,4.4,1
5,0.24,0.19,17,101,5.7,0
5,0.26,0.5,25,93,4.9,1
5,0.25,0.36,40,78,6.4,1
5,0.16,0.26,35,100,7.7,1
5,0.48,0.3,19,78,4.2,1
5,0.4,0.25,45,130,5.8,1
5,0.26,0.29,34,116,4.1,1
5,0.3,0.34,18,96,4.8,1
5,0.21,0.31,17,61,3.7,1
5,0.27,0.4,42,124,4.7,1
5,0.27,0.4,47,130,4.5,1
5,0.27,0.32,31,102,5.6,1
5,0.315,0.19,28,106,4,1
5,0.3,0.09,36,138,4.8,0
5,0.3,0.1,34,142,4.8,0
5,0.62,0.33,24,118,3.9,1
5,0.33,0.32,28,93,5,1
5,0.32,0.19,37,115,4.3,0
5,0.28,0.34,24,125,3.3,1
5,0.26,0.34,26,99,4.1,1
5,0.375,0.4,29,147,5.2,0
5,0.26,0.33,46,113,4.3,1
5,0.36,0.5,63,178,4.5,0
5,0.4,0.35,17,113,6.7,1
5,0.385,0.25,38,122,6.3,1
5,0.4,0.35,17,113,6.7,1
5,0.36,0.5,63,178,4.5,0
5,0.29,0.27,17,140,3.5,1
5,0.38,0.26,20,140,4.3,1
5,0.32,0.26,17,141,3.6,0
5,0.33,0.28,33,97,5.8,1
5,0.37,0.3,35,95,5.6,1
5,0.295,0.26,40,102,5.6,1
5,0.275,0.24,28,114,5.1,1
5,0.405,0.15,10,44,4,0
5,0.22,0.25,97,175,6.2,1
5,0.34,0.25,47,182,4,0
5,0.3,0.3,40,150,4.6,1
5,0.25,0.23,20,77,6.2,0
5,0.31,0.29,16,102,5.6,1
5,0.22,0.3,42,86,4.7,1
5,0.41,0.21,30,112,5.5,1
5,0.6,0.34,3,60,3.8,1
5,0.23,0.31,42,124,6.4,1
5,0.2,0.4,20,98,5.5,1
5,0.21,0.32,33,122,5.2,1
5,0.2,0.36,16,125,4.9,1
5,0.54,0,12,82,3.6,0
5,0.235,0.27,34,118,5,1
5,0.32,0.13,45,156,3.8,0
5,0.21,0.32,38,121,4.6,1
5,0.29,0.3,20,110,3.8,1
6,0.3,0.34,14,132,4.9,1
6,0.32,0.16,30,136,4.7,1
6,0.3,0.34,14,132,4.9,1
6,0.16,0.4,48,143,5.2,1
6,0.17,0.38,28,112,5.5,1
6,0.48,0.04,30,99,3.6,1
6,0.66,0.48,29,75,3.9,1
6,0.31,0.14,34,133,5,0
6,0.66,0.48,29,75,3.9,1
6,0.31,0.38,19,102,3.5,1
6,0.26,0.42,41,122,4.8,1
6,0.27,0.41,16,142,4.7,1
6,0.24,0.35,35,146,4.4,1
6,0.12,0.34,43,117,5.1,1
6,0.39,0.23,25,149,3.5,0
6,0.23,0.39,63,158,3.6,1
6,0.24,0.39,63,157,3.4,1
6,0.24,0.27,33,152,5.6,1
6,0.23,0.26,33,154,5.6,1
6,0.45,0.26,63,206,5.2,0
6,0.46,0.25,62,207,5.2,0
6,0.19,0.35,32,150,4.8,0
6,0.25,0.29,39,124,5.8,1
6,0.16,0.33,21,82,4.6,1
6,0.18,0.35,39,108,3.5,1
6,0.2,0.59,38,132,3.8,1
6,0.25,0.35,29,191,5.2,1
6,0.19,0.26,50,147,3.6,1
6,0.38,0.15,25,78,3.8,1
6,0.22,0.24,30,123,4.6,1
6,0.19,0.26,50,147,3.6,1
6,0.38,0.15,25,78,3.8,1
6,0.35,0.03,29,120,5.4,0
6,0.26,0.24,27,124,4.9,1
6,0.25,0.13,81,174,4.2,0
6,0.23,0.31,30,96,6.4,1
6,0.27,0.43,48,244,5.1,1
6,0.3,0.23,50.5,238.5,6,0
6,0.27,0.28,31,201,7.1,0
6,0.23,0.31,30,96,6.4,1
6,0.54,0.28,21,105,3.7,0
6,0.22,0.31,34,114,7.7,1
6,0.25,0.31,69,202,4.8,1
6,0.27,0.43,65,243,4.7,0
6,0.24,0.33,47,136,4,1
6,0.21,0.33,48,136,4.1,1
6,0.34,0.66,26,164,5,1
6,0.34,0.66,26,164,5,1
6,0.21,0.24,55,164,3.9,0
6,0.33,0.28,37,187,6,0
6,0.17,0.54,64,163,3.9,1
6,0.41,0.34,29,150,5.1,0
6,0.41,0.34,29,150,5.1,0
6,0.31,0.24,25,143,4.4,1
6,0.19,0.28,14,146,3.6,1
6,0.13,0.47,40,158,3.6,1
6,0.19,0.36,63,143,4.8,1
6,0.24,0.32,48,203,5.4,1
6,0.3,0.56,47,179,5.7,1
6,0.3,0.56,46,184,5.7,1
6,0.24,0.32,48,203,5.4,1
6,0.425,0.4,59,241,5.7,0
6,0.24,0.27,46,188,5.1,0
6,0.27,0.22,55,203,5.2,0
6,0.27,0.31,44,179,5.6,0
6,0.19,0.36,30,96,5.4,1
6,0.31,0.34,20,77,4.3,0
6,0.255,0.37,37,114,3.9,1
6,0.595,0.14,15,97,3.6,0
6,0.34,0.33,19,80,5.8,1
6,0.25,0.3,23,116,3.8,1
6,0.25,0.3,23,116,3.8,1
6,0.32,0.24,38,124,4.2,1
6,0.32,0.24,38,124,4.2,1
6,0.22,0.56,27,159,4,0
6,0.36,0.3,14,85,3.9,0
6,0.24,0.35,64,205,5,0
6,0.46,0.18,25,98,4.4,1
6,0.22,0.43,31,130,3.3,1
6,0.23,0.4,50,151,2.7,1
6,0.67,0.07,9,108,3.5,0
6,0.25,0.32,41,176,6.8,1
6,0.33,0.31,42,173,6.6,1
6,0.28,0.4,48,167,5,0
6,0.27,0.4,64,227,5.8,1
6,0.26,0.56,64,226,6.3,0
6,0.29,0.56,66,230,6.3,0
6,0.24,0.41,49,166,6.1,1
6,0.53,0.35,26,109,5.7,1
6,0.28,0.28,54,210,5.4,0
6,0.28,0.28,55,211,5.5,1
6,0.28,0.4,48,167,5,0
6,0.28,0.36,28,123,3.7,1
6,0.15,0.34,34,125,4.2,0
6,0.29,0.44,75,181,4.1,0
6,0.3,0.45,76,180,3.9,1
6,0.29,0.44,75,183,3.8,0
6,0.26,0.24,54,214,4.7,0
6,0.26,0.24,54,214,4.7,0
6,0.27,0.26,55,196,5,0
6,0.54,0.32,53,236,5,0
6,0.26,0.34,39,134,5.3,1
6,0.21,0.5,45,153,4.3,0
6,0.57,0.29,15,77,7.4,0
6,0.4,0.31,23,170,7.7,1
6,0.18,0.38,35,111,5.9,1
6,0.13,0.29,31,122,3.7,1
6,0.25,0.25,35,105,4.4,1
6,0.25,0.25,35,105,4.4,1
6,0.19,0.3,33,144,3.9,1
6,0.495,0.22,31,140,5.4,1
6,0.17,0.32,41,200,5,1
6,0.17,0.32,41,200,5,1
6,0.64,0.08,26,142,4.6,0
6,0.52,0.32,54,221,5,1
6,0.25,0.21,28,159,6.4,1
6,0.24,0.34,64.5,218.5,5.8,1
6,0.4,0.56,40,142,4.6,0
6,0.18,0.36,20,249.5,7.9,1
6,0.21,0.27,26,139,6.1,1
6,0.41,0.14,18,119,4.5,0
6,0.4,0.56,40,142,4.6,0
6,0.26,0.39,45,147,5.8,1
6,0.35,0.3,8,97,4.1,1
6,0.35,0.3,8,97,4.1,1
6,0.23,0.39,23,118,5,1
6,0.115,0.35,36,108,4.2,1
6,0.29,0.4,36,156,4.7,0
6,0.28,0.4,15,95,3.3,0
6,0.24,0.35,22,167,4.8,1
